week,items_sold,week_index
2016-10-03,322,5
2016-10-10,40,6
2017-01-02,47,18
2017-01-09,89,19
2017-01-16,239,20
2017-01-23,420,21
2017-01-30,522,22
2017-02-06,587,23
2017-02-13,451,24
2017-02-20,431,25
2017-02-27,557,26
2017-03-06,664,27
2017-03-13,695,28
2017-03-20,727,29
2017-03-27,624,30
2017-04-03,653,31
2017-04-10,476,32
2017-04-17,641,33
2017-04-24,767,34
2017-05-01,870,35
2017-05-08,892,36
2017-05-15,1052,37
2017-05-22,884,38
2017-05-29,916,39
2017-06-05,938,40
2017-06-12,847,41
2017-06-19,737,42
2017-06-26,795,43
2017-07-03,912,44
2017-07-10,1089,45
2017-07-17,1092,46
2017-07-24,1048,47
2017-07-31,1098,48
2017-08-07,1062,49
2017-08-14,1168,50
2017-08-21,1051,51
2017-08-28,1140,52
2017-09-04,1007,53
2017-09-11,1300,54
2017-09-18,1136,55
2017-09-25,1089,56
2017-10-02,1133,57
2017-10-09,1195,58
2017-10-16,1340,59
2017-10-23,1145,60
2017-10-30,1101,61
2017-11-06,1362,62
2017-11-13,1502,63
2017-11-20,3497,64
2017-11-27,2374,65
2017-12-04,1875,66
2017-12-11,1571,67
2017-12-18,1094,68
2017-12-25,960,69
2018-01-01,1561,70
2018-01-08,2004,71
2018-01-15,1960,72
2018-01-22,1797,73
2018-01-29,1841,74
2018-02-05,1762,75
2018-02-12,1877,76
2018-02-19,2020,77
2018-02-26,2157,78
2018-03-05,1865,79
2018-03-12,1804,80
2018-03-19,1996,81
2018-03-26,1685,82
2018-04-02,1800,83
2018-04-09,1807,84
2018-04-16,1932,85
2018-04-23,1919,86
2018-04-30,2028,87
2018-05-07,2295,88
2018-05-14,2136,89
2018-05-21,1107,90
2018-05-28,1230,91
2018-06-04,1676,92
2018-06-11,1729,93
2018-06-18,1651,94
2018-06-25,1622,95
2018-07-02,1345,96
2018-07-09,1099,97
2018-07-16,1873,98
2018-07-23,1900,99
2018-07-30,2305,100
2018-08-06,2254,101
2018-08-13,2054,102
2018-08-20,1192,103
2018-08-27,132,104
