3_day_period_start,items_sold
2016-10-04,183
2016-10-07,131
2016-10-10,40
2017-01-05,41
2017-01-08,18
2017-01-11,38
2017-01-14,63
2017-01-17,107
2017-01-20,108
2017-01-23,167
2017-01-26,206
2017-01-29,207
2017-02-01,207
2017-02-04,243
2017-02-07,308
2017-02-10,191
2017-02-13,231
2017-02-16,176
2017-02-19,163
2017-02-22,214
2017-02-25,151
2017-02-28,256
2017-03-03,248
2017-03-06,300
2017-03-09,293
2017-03-12,303
2017-03-15,327
2017-03-18,263
2017-03-21,361
2017-03-24,239
2017-03-27,321
2017-03-30,225
2017-04-02,274
2017-04-05,308
2017-04-08,244
2017-04-11,214
2017-04-14,167
2017-04-17,264
2017-04-20,286
2017-04-23,349
2017-04-26,352
2017-04-29,288
2017-05-02,369
2017-05-05,370
2017-05-08,421
2017-05-11,342
2017-05-14,472
2017-05-17,465
2017-05-20,411
2017-05-23,425
2017-05-26,292
2017-05-29,438
2017-06-01,372
2017-06-04,425
2017-06-07,410
2017-06-10,358
2017-06-13,408
2017-06-16,290
2017-06-19,324
2017-06-22,296
2017-06-25,353
2017-06-28,347
2017-07-01,343
2017-07-04,458
2017-07-07,323
2017-07-10,506
2017-07-13,435
2017-07-16,562
2017-07-19,470
2017-07-22,388
2017-07-25,455
2017-07-28,413
2017-07-31,523
2017-08-03,453
2017-08-06,463
2017-08-09,504
2017-08-12,393
2017-08-15,586
2017-08-18,406
2017-08-21,531
2017-08-24,377
2017-08-27,470
2017-08-30,553
2017-09-02,421
2017-09-05,442
2017-09-08,404
2017-09-11,664
2017-09-14,500
2017-09-17,533
2017-09-20,516
2017-09-23,377
2017-09-26,535
2017-09-29,400
2017-10-02,554
2017-10-05,442
2017-10-08,566
2017-10-11,501
2017-10-14,491
2017-10-17,677
2017-10-20,437
2017-10-23,553
2017-10-26,432
2017-10-29,523
2017-11-01,441
2017-11-04,506
2017-11-07,599
2017-11-10,554
2017-11-13,673
2017-11-16,653
2017-11-19,696
2017-11-22,1941
2017-11-25,1510
2017-11-28,1092
2017-12-01,808
2017-12-04,1006
2017-12-07,664
2017-12-10,796
2017-12-13,685
2017-12-16,528
2017-12-19,553
2017-12-22,308
2017-12-25,466
2017-12-28,416
2017-12-31,392
2018-01-03,769
2018-01-06,812
2018-01-09,894
2018-01-12,776
2018-01-15,1002
2018-01-18,745
2018-01-21,866
2018-01-24,801
2018-01-27,632
2018-01-30,865
2018-02-02,687
2018-02-05,896
2018-02-08,678
2018-02-11,701
2018-02-14,906
2018-02-17,753
2018-02-20,987
2018-02-23,738
2018-02-26,1058
2018-03-01,849
2018-03-04,871
2018-03-07,791
2018-03-10,712
2018-03-13,832
2018-03-16,713
2018-03-19,1029
2018-03-22,741
2018-03-25,835
2018-03-28,651
2018-03-31,757
2018-04-03,864
2018-04-06,604
2018-04-09,831
2018-04-12,712
2018-04-15,895
2018-04-18,899
2018-04-21,731
2018-04-24,926
2018-04-27,664
2018-04-30,901
2018-05-03,887
2018-05-06,1039
2018-05-09,1011
2018-05-12,898
2018-05-15,1085
2018-05-18,638
2018-05-21,621
2018-05-24,374
2018-05-27,455
2018-05-30,512
2018-06-02,633
2018-06-05,768
2018-06-08,650
2018-06-11,931
2018-06-14,623
2018-06-17,715
2018-06-20,721
2018-06-23,671
2018-06-26,819
2018-06-29,522
2018-07-02,746
2018-07-05,452
2018-07-08,456
2018-07-11,463
2018-07-14,591
2018-07-17,871
2018-07-20,738
2018-07-23,977
2018-07-26,712
2018-07-29,900
2018-08-01,1030
2018-08-04,1016
2018-08-07,1113
2018-08-10,711
2018-08-13,980
2018-08-16,848
2018-08-19,767
2018-08-22,494
2018-08-25,228
2018-08-28,61
